I1,I2,I3,I4,I5,I6,I7,I8,I9,I10
vrp-n6-c41-sI,6,41,3,13.9562,2,593.17082,523.46229,75489.67132,47663.64579
vrp-n17-c22-sI,17,22,8,4.93538,3,586.42041,528.05815,66657.72469,62383.07454
vrp-n28-c32-sI,28,32,16,10.20119,2,506.06287,485.38901,53256.31785,54893.60759
vrp-n16-c22-sI,16,22,9,5.88588,2,515.73593,533.25905,62341.72131,76528.343
vrp-n17-c23-sI,17,23,9,5.92755,2,494.39333,360.90079,60096.42175,20276.47729
vrp-n26-c26-sI,26,26,13,7.19758,2,558.15481,464.03353,69850.70273,33710.42602
vrp-n4-c24-sI,4,24,3,7.05975,2,443.99721,593.28468,26265.37747,57594.87989
vrp-n8-c31-sI,8,31,6,10.36137,2,602.63782,506.10062,78371.77218,27909.01433
vrp-n28-c15-sI,28,15,13,4.02666,3,506.25759,592.90285,59503.65468,69222.0341
vrp-n25-c31-sI,25,31,15,9.50304,2,536.14841,589.68423,65906.66131,63552.10536
vrp-n14-c22-sI,14,22,5,5.42177,3,558.38057,477.84959,68365.97401,72218.11995
vrp-n19-c46-sI,19,46,10,11.96192,2,514.68111,408.95906,63620.74722,42956.00954
vrp-n10-c18-sI,10,18,6,4.57806,2,480.71127,785.02362,49176.1343,52741.36757
vrp-n9-c25-sI,9,25,4,6.0,3,529.99611,365.55923,42074.90355,19720.10266
vrp-n22-c19-sI,22,19,12,5.13191,2,545.75293,426.52264,58263.32246,26232.63533
vrp-n24-c39-sI,24,39,13,11.32431,2,551.42848,398.9407,64106.48592,38944.66479
vrp-n8-c31-sI,8,31,5,8.91939,2,540.08177,676.73481,46859.99812,98021.48004
vrp-n26-c20-sI,26,20,13,4.41409,2,516.24195,553.98428,61567.54998,38080.06955
vrp-n7-c21-sI,7,21,5,6.86363,2,464.85779,491.91257,40564.357,37418.25085
vrp-n14-c32-sI,14,32,7,10.01909,2,599.5073,789.21627,81723.87246,138191.72829
vrp-n12-c19-sI,12,19,6,4.6141,2,560.10342,459.387,56728.21667,9801.70506
vrp-n8-c25-sI,8,25,4,8.0108,2,570.8983,640.20973,45135.47686,69552.88504
vrp-n28-c42-sI,28,42,16,13.14205,2,511.98235,382.15793,55110.26606,18209.80461
vrp-n12-c29-sI,12,29,6,7.09863,2,500.63001,407.18784,44045.62929,35175.20942
vrp-n14-c23-sI,14,23,5,6.88832,3,634.57968,575.20441,72240.11988,100197.14271
vrp-n19-c24-sI,19,24,11,5.35164,2,530.78106,560.52005,53019.3677,67489.53379
vrp-n14-c47-sI,14,47,7,11.37522,2,500.28778,562.05116,54568.36117,74412.20551
vrp-n9-c17-sI,9,17,5,5.49636,2,447.48535,312.64567,47488.83513,37324.55134
vrp-n21-c42-sI,21,42,12,10.51367,2,505.56584,415.0106,74026.36091,60446.00985
vrp-n5-c29-sI,5,29,3,8.35497,2,689.0157,566.05401,97736.34679,22362.80545
vrp-n28-c21-sI,28,21,14,6.1592,2,530.22217,483.29209,57780.10362,53663.24653
vrp-n10-c12-sI,10,12,5,2.96258,2,522.55859,371.52179,58670.38166,20890.83244
vrp-n3-c30-sI,3,30,2,10.06231,2,717.50505,573.99787,58953.57359,5021.13131
vrp-n17-c40-sI,17,40,10,12.39985,2,483.29203,402.99562,53136.99648,21791.73287
vrp-n23-c21-sI,23,21,11,6.70613,3,519.253,637.78729,62722.99836,75122.65864
vrp-n5-c30-sI,5,30,4,10.13931,2,753.07322,671.46056,78767.92472,63285.58562
vrp-n5-c51-sI,5,51,3,15.97915,2,682.93461,556.18246,49004.27912,57969.67788
vrp-n21-c45-sI,21,45,10,13.1699,3,557.07903,414.82852,57612.67752,23478.71042
vrp-n27-c34-sI,27,34,13,11.11902,3,561.11696,479.23472,69512.59715,61723.70577
vrp-n8-c25-sI,8,25,4,5.22813,2,510.62422,685.41082,47754.65561,53318.05179
vrp-n14-c16-sI,14,16,7,4.15478,2,437.79133,347.69494,39037.20474,18634.75879
vrp-n16-c42-sI,16,42,9,9.79655,2,478.8081,466.22582,72160.24886,70230.80862
vrp-n26-c29-sI,26,29,12,7.81543,3,520.45155,456.39333,60097.78008,28536.55142
vrp-n14-c50-sI,14,50,9,12.45686,2,558.73887,532.45636,69513.06917,79488.49644
vrp-n16-c30-sI,16,30,7,9.38083,3,589.64973,564.13426,77484.70975,63934.40334
vrp-n19-c44-sI,19,44,11,13.76545,2,432.45885,489.39108,39546.03397,45647.95569
vrp-n9-c22-sI,9,22,6,6.2522,2,532.22574,546.80957,58929.8254,91682.27281
vrp-n16-c36-sI,16,36,9,10.12824,2,555.50733,520.05133,59440.73697,53793.01777
vrp-n15-c43-sI,15,43,7,13.50926,3,470.30012,476.74718,50488.12815,42375.83721
vrp-n4-c26-sI,4,26,3,7.08802,2,328.4308,307.94215,16164.712,30615.86005
vrp-n26-c43-sI,26,43,14,12.07328,2,473.75409,367.35208,51616.07953,40281.98108
vrp-n22-c34-sI,22,34,12,10.16146,2,438.45803,590.4552,42196.36039,51020.9382
vrp-n16-c35-sI,16,35,8,11.01305,2,535.159,506.12826,65980.94245,42128.53916
vrp-n9-c13-sI,9,13,5,3.84838,2,503.41854,377.70959,47093.0324,9082.97577
vrp-n21-c19-sI,21,19,13,5.46816,2,541.34668,389.13915,60263.03989,20251.05369
vrp-n13-c33-sI,13,33,7,9.34623,2,551.35019,563.58155,76468.89436,64319.70258
vrp-n20-c47-sI,20,47,12,12.99625,2,556.93776,549.86418,65104.78263,47169.65717
vrp-n21-c51-sI,21,51,11,16.09046,2,514.48949,568.35711,50698.93494,54684.84224
vrp-n4-c18-sI,4,18,3,6.14492,2,562.69418,384.88527,82934.32365,42025.17015
vrp-n4-c26-sI,4,26,3,8.70402,2,356.65102,373.75348,18597.91803,50824.99558
vrp-n7-c48-sI,7,48,4,13.22639,2,518.81953,427.59802,79305.99613,54096.77352
vrp-n26-c27-sI,26,27,11,6.8867,3,526.68332,477.98244,61924.47691,59688.7183
vrp-n8-c47-sI,8,47,5,15.56428,2,509.00094,372.78505,43332.18263,25855.64025
vrp-n27-c33-sI,27,33,15,9.7261,2,484.44833,485.84876,51052.99541,61664.10487
vrp-n22-c39-sI,22,39,11,10.34618,2,476.39442,564.3321,46191.09204,71586.52579
vrp-n24-c43-sI,24,43,14,12.44354,2,507.21648,613.5561,53359.88498,74732.62335
vrp-n3-c19-sI,3,19,3,6.1796,1,331.31842,625.45154,12991.46477,26870.12615
vrp-n23-c22-sI,23,22,11,6.02541,3,586.93603,549.08999,70621.48878,79608.29283
vrp-n23-c20-sI,23,20,13,5.62731,2,532.53304,547.09617,65560.79734,53761.36288
vrp-n23-c38-sI,23,38,11,9.52838,3,511.99652,685.66845,61760.80868,53248.4422
vrp-n7-c24-sI,7,24,3,6.75347,3,376.97786,397.20428,28005.15771,21476.24046
vrp-n28-c39-sI,28,39,15,10.46039,2,499.87868,369.07529,53579.85058,17969.27254
vrp-n18-c27-sI,18,27,7,6.96648,3,484.61323,369.72967,50295.62198,34383.72012
vrp-n24-c21-sI,24,21,11,6.73498,3,513.47143,573.26629,58612.39241,87041.87376
vrp-n22-c25-sI,22,25,11,7.14976,2,593.2602,527.08178,87983.13481,57063.42053
vrp-n27-c48-sI,27,48,13,13.06147,3,523.64169,390.5,61564.62589,24407.43553
vrp-n5-c35-sI,5,35,3,10.56724,2,486.55072,306.27984,92071.30168,60489.69404
vrp-n14-c45-sI,14,45,7,13.96408,2,453.64294,316.05616,44372.1352,22208.92259
vrp-n27-c12-sI,27,12,12,2.98871,3,569.85469,638.26184,68747.4747,69582.59419
vrp-n4-c51-sI,4,51,2,10.2098,2,489.13827,827.04544,21936.27399,54592.13386
vrp-n18-c14-sI,18,14,8,4.03722,3,527.77845,470.51654,54028.18322,50997.87782
vrp-n11-c49-sI,11,49,6,13.52364,2,525.52221,565.57095,48188.94716,68283.02671
vrp-n16-c30-sI,16,30,8,9.01479,2,539.5217,393.37919,64844.51163,34907.83148
vrp-n16-c19-sI,16,19,9,6.10632,2,472.27475,424.08461,48321.55416,49126.74384
vrp-n29-c36-sI,29,36,15,10.6348,2,648.69583,645.96106,89099.9326,109236.00566
vrp-n29-c46-sI,29,46,16,12.08328,2,551.24052,613.54425,60912.7649,69360.81591
vrp-n14-c34-sI,14,34,7,10.32021,2,524.04167,515.54156,49514.17063,77197.03208
vrp-n19-c28-sI,19,28,11,8.36361,2,553.06768,624.41305,59524.39713,62334.88862
vrp-n17-c45-sI,17,45,9,13.05225,2,554.09254,479.51069,68771.65539,23391.92935
vrp-n26-c31-sI,26,31,13,9.35726,2,544.12284,483.47186,61820.22931,43340.57496
vrp-n22-c15-sI,22,15,11,4.02168,2,440.65425,320.2461,44711.08271,17646.45844
vrp-n23-c49-sI,23,49,12,16.37956,2,525.65139,624.61891,67899.00625,86971.3032
vrp-n28-c49-sI,28,49,12,12.87976,3,462.70039,423.41473,45885.64104,32543.16288
vrp-n28-c22-sI,28,22,16,6.27321,2,485.38164,534.46762,47724.89362,58804.93743
vrp-n15-c35-sI,15,35,7,9.14382,3,482.29741,625.30669,52514.20311,62724.09179
vrp-n24-c23-sI,24,23,13,6.51349,2,544.82297,505.61339,71977.36724,16997.83196
vrp-n9-c34-sI,9,34,4,9.17878,3,478.90053,737.40537,37710.79125,54725.769
vrp-n13-c27-sI,13,27,6,7.7341,3,589.57105,507.93281,68570.07238,70646.36071
vrp-n28-c22-sI,28,22,16,6.49449,2,498.93921,499.28531,52884.56151,57582.79516
vrp-n25-c17-sI,25,17,13,5.01728,2,534.73218,439.42404,60816.1733,40330.36643
vrp-n17-c45-sI,17,45,9,15.47848,2,515.5555,498.81677,55582.59095,41553.15743
vrp-n13-c18-sI,13,18,7,5.65009,2,554.24042,534.96138,52502.93229,67454.0401
vrp-n22-c38-sI,22,38,12,11.78173,2,552.36465,487.2409,68862.38622,25115.16383
vrp-n2-c27-sI,2,27,1,4.10961,2,309.44591,474.26847,0.0,13701.30099
vrp-n16-c29-sI,16,29,8,7.45273,2,593.82148,460.70717,75539.44865,65976.53617
vrp-n9-c30-sI,9,30,5,8.01311,2,600.4927,435.86247,100234.42453,22907.79574
vrp-n9-c12-sI,9,12,4,3.00167,3,603.90346,639.92834,53085.2247,97873.10827
vrp-n9-c43-sI,9,43,5,12.83939,2,499.93665,474.73816,69889.90788,34451.42928
vrp-n10-c51-sI,10,51,6,14.26027,2,566.09048,603.51139,64187.95425,28122.40903
vrp-n23-c44-sI,23,44,11,15.22676,3,563.537,425.668,63489.02269,27198.61251
vrp-n16-c18-sI,16,18,8,4.90039,2,580.9405,411.55738,75380.83961,39436.71131
vrp-n5-c24-sI,5,24,3,7.43864,2,572.54529,487.25899,55538.13132,51304.58025
vrp-n21-c50-sI,21,50,12,15.32816,2,478.21474,341.73771,47301.92777,27481.1585
vrp-n27-c49-sI,27,49,15,13.33076,2,477.76149,611.67906,51145.70065,50159.96374
vrp-n20-c19-sI,20,19,10,5.40135,2,491.15721,632.0474,52286.76195,56288.3851
vrp-n19-c12-sI,19,12,10,3.19531,2,506.48176,451.5575,59093.37835,57514.7179
vrp-n2-c45-sI,2,45,1,6.97615,2,920.32221,516.58503,0.0,97828.344
vrp-n26-c32-sI,26,32,14,9.03279,2,499.21597,557.3255,63517.68423,49574.31235
vrp-n28-c46-sI,28,46,13,14.03224,3,580.00197,560.27394,69655.65365,48244.69621
vrp-n18-c47-sI,18,47,8,13.66922,3,529.35809,421.87194,66867.2088,12843.21167
vrp-n8-c17-sI,8,17,4,5.53998,2,559.54514,526.12556,54827.41608,63643.07117
vrp-n19-c36-sI,19,36,10,10.85541,2,549.62936,594.41129,69969.07274,87427.38525
vrp-n21-c47-sI,21,47,10,14.49423,3,534.46557,602.43535,59139.03137,66200.19077
vrp-n6-c15-sI,6,15,2,4.13052,3,603.00922,593.4647,62988.7247,57616.14091
vrp-n12-c38-sI,12,38,4,8.4797,3,561.57863,571.73438,68844.40772,33708.6792
vrp-n25-c19-sI,25,19,12,5.47182,3,569.22418,610.02849,68144.76717,92844.15568
vrp-n19-c41-sI,19,41,11,10.05286,2,438.88943,460.70237,45134.11485,58883.94454
vrp-n9-c16-sI,9,16,5,4.09878,2,596.41095,534.96439,63401.93731,88321.48455
vrp-n16-c33-sI,16,33,9,10.23259,2,633.94054,478.71248,79806.61926,34735.28951
vrp-n20-c41-sI,20,41,10,11.01658,2,569.53374,578.62224,92920.95878,101490.40455
vrp-n21-c14-sI,21,14,11,3.84622,2,558.161,644.67542,60888.26984,72826.65846
vrp-n17-c32-sI,17,32,9,8.44755,2,456.64404,470.24443,44385.8166,31664.74916
vrp-n25-c50-sI,25,50,14,13.83188,2,532.3045,532.76756,60338.33896,75663.54739
vrp-n28-c49-sI,28,49,13,15.52613,3,517.68867,589.88021,58228.27415,77176.19425
vrp-n13-c13-sI,13,13,6,2.75162,3,615.19091,570.65148,80161.51326,85547.71983
vrp-n29-c48-sI,29,48,15,14.26589,2,534.84903,491.87845,60581.86071,72470.23229
vrp-n23-c50-sI,23,50,12,13.84531,2,552.87179,556.96175,61283.00999,59229.72804
vrp-n9-c19-sI,9,19,6,5.79655,2,540.07318,526.06592,76512.82471,71291.0421
vrp-n6-c27-sI,6,27,4,9.53832,2,405.30461,612.28499,41788.16615,7852.3874
vrp-n17-c14-sI,17,14,10,3.90947,2,497.81012,440.82068,50738.78838,56962.36779
vrp-n21-c21-sI,21,21,13,5.3337,2,566.87609,410.54852,71870.7022,23491.89015
vrp-n21-c22-sI,21,22,11,5.97446,2,520.18294,492.87861,57769.08456,33240.48619
vrp-n9-c50-sI,9,50,5,17.57271,2,456.35865,422.24225,58536.05753,66024.94765
vrp-n25-c46-sI,25,46,13,12.44687,2,467.37575,350.73129,54180.16817,39281.55644
vrp-n28-c27-sI,28,27,17,7.58244,2,491.8678,612.59354,53425.81305,45866.10378
vrp-n11-c18-sI,11,18,6,5.41603,2,556.32623,579.97687,60223.68442,63921.33287
vrp-n19-c13-sI,19,13,8,3.16228,3,520.41504,414.26784,57005.28899,38584.90669
vrp-n2-c35-sI,2,35,2,14.81741,1,618.59671,628.95677,0.0,15608.21515
vrp-n20-c43-sI,20,43,12,11.39877,2,599.29367,572.18923,74414.87761,77172.9836
vrp-n2-c31-sI,2,31,1,7.7603,2,776.23448,398.81347,0.0,775.83034
vrp-n28-c16-sI,28,16,12,4.2069,3,589.77787,752.73834,72985.3245,97567.16112
vrp-n21-c12-sI,21,12,9,3.00447,3,515.90669,438.13419,58280.75007,47010.53862
vrp-n21-c41-sI,21,41,10,9.76035,3,497.00795,358.30859,59701.93133,22987.06677
vrp-n13-c36-sI,13,36,6,10.22926,3,609.06882,591.67648,76533.22041,72748.0126
vrp-n11-c27-sI,11,27,7,8.88351,2,500.64514,482.1917,56588.26396,32756.21094
vrp-n16-c43-sI,16,43,7,12.29567,3,499.95307,347.42643,62046.03903,26777.91003
vrp-n24-c20-sI,24,20,13,6.31823,2,562.75903,715.32095,73572.90679,40770.7485
vrp-n23-c40-sI,23,40,11,12.1481,3,504.63086,600.87331,52524.94359,63619.31861
vrp-n25-c27-sI,25,27,13,8.49295,2,509.32438,548.90292,60995.31903,48343.23062
vrp-n5-c31-sI,5,31,1,4.98888,5,355.09567,570.02098,49651.26025,4358.26079
vrp-n18-c29-sI,18,29,11,8.42599,2,484.4623,571.76418,50119.28687,61654.70982
vrp-n7-c47-sI,7,47,4,12.94218,2,538.70288,569.7761,44053.47976,36637.48274
vrp-n8-c48-sI,8,48,5,16.03776,2,411.93199,315.2934,33737.17216,16824.98796
vrp-n8-c38-sI,8,38,4,9.44118,2,509.35087,467.87933,49601.09038,30994.65249
vrp-n15-c35-sI,15,35,7,9.00499,3,485.60456,594.69183,45734.25493,44218.05389
vrp-n10-c17-sI,10,17,6,4.0,2,510.94333,513.02553,47583.14515,48124.87493
vrp-n16-c12-sI,16,12,9,3.50185,2,588.23029,512.04656,63358.24296,51274.27896
vrp-n26-c39-sI,26,39,12,10.45035,3,571.20547,463.19129,70443.3692,43073.39027
vrp-n15-c42-sI,15,42,8,10.99929,2,544.01607,578.76811,56939.03266,59451.21687
vrp-n20-c40-sI,20,40,12,10.90424,2,562.21497,468.34767,66358.49149,47589.79916
vrp-n4-c24-sI,4,24,3,7.70454,2,613.37815,627.80246,89248.0418,39353.21963
vrp-n4-c27-sI,4,27,3,10.8922,2,512.11037,364.13571,45660.96546,70325.69202
vrp-n24-c35-sI,24,35,12,9.79518,2,539.37707,418.49065,67412.26332,26026.35986
vrp-n27-c13-sI,27,13,17,2.98016,2,520.24182,512.64589,55552.24699,67534.94435
vrp-n28-c28-sI,28,28,16,7.43757,2,490.21914,470.1676,50084.7655,36088.25834
vrp-n18-c29-sI,18,29,11,8.80475,2,507.10293,621.92408,48164.35129,66035.82722
vrp-n15-c32-sI,15,32,10,8.26136,2,532.60287,403.18036,59458.27431,27949.48322
vrp-n20-c48-sI,20,48,11,15.31262,2,567.99619,619.2056,64397.66454,69829.95568
vrp-n10-c16-sI,10,16,5,4.42009,2,464.18281,381.23459,53382.19879,33286.94929
vrp-n3-c43-sI,3,43,2,14.089,2,730.53868,437.47889,79617.17237,48816.35604
vrp-n20-c22-sI,20,22,10,5.97842,2,479.49521,773.19394,57942.53737,61855.97992
vrp-n6-c31-sI,6,31,5,11.6619,2,636.48043,781.99509,47840.91284,82420.18436
vrp-n10-c34-sI,10,34,7,9.53549,2,422.60973,658.78639,41547.96349,66076.16445
vrp-n28-c43-sI,28,43,16,12.91719,2,545.48696,476.01823,67670.25858,62286.24409
vrp-n15-c13-sI,15,13,9,3.51559,2,581.9822,761.49594,87600.73466,117619.62746
vrp-n18-c18-sI,18,18,9,5.02845,2,509.23299,366.16302,56159.52647,16935.64656
vrp-n13-c47-sI,13,47,8,11.54251,2,545.32,459.47526,67318.35256,46178.1268
vrp-n24-c51-sI,24,51,15,15.22346,2,469.28096,383.05952,51325.89151,22709.52471
vrp-n18-c38-sI,18,38,7,12.24948,3,531.17063,422.97656,65593.51927,53932.22837
vrp-n3-c19-sI,3,19,2,5.85235,2,251.34909,384.26877,8015.60167,4855.50264
vrp-n8-c23-sI,8,23,6,6.57342,2,413.5066,491.81374,35212.97862,61903.58831
vrp-n21-c38-sI,21,38,11,9.7778,2,463.14209,577.60325,45489.71734,38815.02539
vrp-n5-c36-sI,5,36,4,11.87083,2,515.7997,483.45706,39765.6478,71470.61955
vrp-n11-c23-sI,11,23,7,6.44636,2,476.92835,505.05361,54329.38568,15825.99227
vrp-n8-c18-sI,8,18,5,5.16637,2,528.92363,414.28525,82238.96686,76628.63065
vrp-n28-c19-sI,28,19,15,5.09272,2,521.47177,594.7281,60481.79359,60247.55808
vrp-n2-c14-sI,2,14,1,4.6428,2,483.66659,482.01614,0.0,13332.72349
vrp-n11-c16-sI,11,16,7,4.48067,2,517.98193,480.29314,57698.71108,59308.84891
vrp-n26-c24-sI,26,24,13,5.96285,2,575.32305,443.40194,69391.86454,24492.26197
vrp-n6-c13-sI,6,13,3,3.15582,2,672.56033,643.14927,85857.18297,130810.26398
vrp-n24-c47-sI,24,47,12,14.47779,2,527.55689,493.11621,65442.31399,49044.27758
vrp-n5-c18-sI,5,18,3,5.2731,2,566.02546,448.26184,64679.1744,36253.19462
vrp-n14-c26-sI,14,26,7,8.19322,2,578.25388,567.2106,60844.85489,60207.86759
vrp-n27-c36-sI,27,36,16,10.56099,2,481.89602,664.88782,51382.43175,54159.16123
vrp-n24-c45-sI,24,45,11,12.86757,3,586.98941,499.66465,68598.95359,48811.14713
vrp-n18-c29-sI,18,29,10,7.87999,2,566.48592,640.84865,66643.64803,63687.15501
vrp-n10-c15-sI,10,15,5,4.96267,2,533.05675,468.42463,49635.28335,59470.57268
vrp-n24-c33-sI,24,33,11,9.82291,3,526.56473,561.6142,56576.38465,39085.14715
vrp-n10-c18-sI,10,18,4,2.67835,3,557.53908,506.90257,52417.08771,48415.57877
vrp-n14-c27-sI,14,27,8,8.23974,2,437.64904,476.64625,48030.08918,46862.16567
vrp-n4-c47-sI,4,47,2,9.8102,2,737.56301,495.48925,70632.18183,79357.41571
vrp-n8-c40-sI,8,40,4,11.88006,2,517.00245,515.31072,80232.69133,75113.74995
vrp-n23-c16-sI,23,16,11,4.1229,3,557.13846,583.24359,63787.2906,90948.75749
vrp-n11-c43-sI,11,43,6,13.33203,2,580.24906,559.58803,65026.23224,51605.90869
vrp-n19-c13-sI,19,13,8,3.47851,3,511.10138,481.65012,60002.1723,32246.85915
vrp-n17-c29-sI,17,29,9,8.48528,2,501.15716,545.78874,60426.76687,59505.32202
vrp-n6-c39-sI,6,39,4,12.0051,2,367.91229,414.28738,21528.34877,28694.60598
vrp-n26-c38-sI,26,38,13,11.17647,2,411.87916,511.48922,39067.46803,39308.12799
vrp-n19-c38-sI,19,38,11,10.95217,2,520.52887,392.74254,63146.77977,39388.17342
vrp-n25-c43-sI,25,43,14,13.02047,2,471.95316,470.25063,43490.20932,38677.88214
vrp-n21-c26-sI,21,26,9,7.48718,3,526.52757,516.43231,60173.60249,43595.28219
vrp-n6-c16-sI,6,16,2,4.0305,3,414.44262,310.60805,41044.44544,34586.43208
vrp-n15-c24-sI,15,24,7,7.37791,3,511.13623,380.0022,46108.99655,27197.64164
vrp-n29-c32-sI,29,32,13,10.43946,3,521.19759,608.27716,59012.29251,72431.55059
vrp-n25-c49-sI,25,49,12,14.24869,3,482.93898,535.82632,64263.5901,44082.96633
vrp-n2-c23-sI,2,23,2,8.65384,1,109.70578,263.14832,0.0,2611.9406
vrp-n28-c44-sI,28,44,14,12.51938,2,600.5183,636.9979,77325.92475,73350.23906
vrp-n5-c44-sI,5,44,4,12.9454,2,463.72722,354.48084,48868.16213,33648.11958
vrp-n7-c30-sI,7,30,4,6.66966,2,434.24308,390.67824,46763.16139,39050.81459
vrp-n3-c37-sI,3,37,3,13.16007,1,480.3138,457.0019,38994.49918,7107.14606
vrp-n16-c39-sI,16,39,8,11.08195,2,555.79931,623.65867,75686.17932,52838.55956
vrp-n8-c22-sI,8,22,5,7.36357,2,541.21408,574.92486,51704.47792,93754.12166
vrp-n25-c44-sI,25,44,16,10.86741,2,555.24062,456.68204,73311.45039,39238.50082
vrp-n16-c42-sI,16,42,9,13.48227,2,535.38773,537.56269,61132.93201,41545.07907
vrp-n6-c24-sI,6,24,5,7.56738,2,532.12071,467.85159,40065.58523,80325.22446
vrp-n20-c45-sI,20,45,11,15.42299,2,563.45931,645.77135,67376.06356,40280.86413
vrp-n12-c50-sI,12,50,8,14.95912,2,503.95556,472.64352,51977.10888,80535.88466
vrp-n21-c16-sI,21,16,12,4.03318,2,517.52127,439.25858,51635.99913,43952.8111
vrp-n4-c23-sI,4,23,2,5.6356,2,576.70608,423.12922,31213.70539,24628.42258
vrp-n16-c23-sI,16,23,8,6.74088,2,445.50177,531.1872,42692.82326,43264.07096
vrp-n29-c31-sI,29,31,15,8.89076,2,475.63809,394.35474,50499.8625,41843.72305
vrp-n28-c26-sI,28,26,18,7.17407,2,514.7831,517.76819,60827.50774,39119.78736
vrp-n13-c45-sI,13,45,7,13.02529,2,552.36375,758.99277,67960.68109,88526.43501
vrp-n6-c22-sI,6,22,5,6.73401,2,471.88601,605.88205,36883.41764,38687.48496
vrp-n3-c12-sI,3,12,2,3.96074,2,349.54224,616.95414,1665.5064,23015.50719
vrp-n16-c15-sI,16,15,7,4.46517,3,490.5584,370.05159,54053.00363,25799.33294
vrp-n2-c35-sI,2,35,2,9.46338,1,508.92948,385.05785,0.0,34569.37605
vrp-n11-c46-sI,11,46,6,12.56538,2,616.87809,426.82288,74794.40955,34099.00755
vrp-n7-c48-sI,7,48,5,13.51851,2,431.4127,372.81087,31607.68525,13631.85675
