I1,I2,I3,I4,I5,I6,I7,I8,I9,I10
vrp-n32-c58-s1,32,58,21,14.2168,2,498.28342,392.02727,51418.79847,33244.17834
vrp-n12-c60-s1,12,60,6,15.739,2,441.32038,493.11848,46078.46002,32209.16495
vrp-n14-c32-s1,14,32,6,8.84835,3,514.83069,435.95262,52100.87089,44247.89945
vrp-n18-c48-s1,18,48,8,13.07829,3,483.28728,667.40543,49922.08521,63924.2866
vrp-n41-c32-s1,41,32,19,8.82422,3,520.2872,398.52722,58816.75169,22009.68464
vrp-n14-c66-s1,14,66,8,22.56507,2,552.26731,459.09478,76269.15752,36368.93017
vrp-n24-c79-s1,24,79,13,21.3585,2,545.49626,480.37278,70263.91797,30596.76939
vrp-n43-c68-s1,43,68,17,17.68573,3,527.99136,594.49622,64578.75923,63838.36725
vrp-n16-c60-s1,16,60,9,18.90698,2,555.13475,468.04527,64390.23733,35888.14231
vrp-n34-c65-s1,34,65,16,16.94688,3,520.90907,637.41373,59069.88978,76933.99656
vrp-n10-c79-s1,10,79,5,22.73309,2,599.7089,710.29446,64380.6036,68634.12604
vrp-n40-c56-s1,40,56,19,15.12396,3,522.41305,563.89649,62452.64419,76839.60567
vrp-n39-c43-s1,39,43,19,12.41811,3,531.58866,495.79643,61636.32114,60411.87219
vrp-n14-c59-s1,14,59,9,17.74711,2,486.64712,637.44559,40207.84635,66446.43535
vrp-n38-c65-s1,38,65,19,18.85364,2,530.69704,500.68136,59155.58527,55174.27664
vrp-n11-c34-s1,11,34,6,10.17349,2,587.29761,405.60854,83603.73598,72082.27674
vrp-n44-c56-s1,44,56,22,14.73318,2,503.08458,379.57492,56550.86208,16007.694
vrp-n28-c47-s1,28,47,16,13.4999,2,567.65749,532.42161,68915.2924,83578.15812
vrp-n31-c46-s1,31,46,16,13.33874,2,485.73563,534.12057,47390.32276,59991.08155
vrp-n13-c78-s1,13,78,6,17.06186,3,585.50012,716.74297,77995.01883,27892.79059
vrp-n22-c49-s1,22,49,13,13.37704,2,530.93559,428.77721,61238.91463,49700.66638
vrp-n26-c45-s1,26,45,13,13.07098,2,617.4073,603.69933,74592.87086,74986.42077
vrp-n18-c76-s1,18,76,8,24.47034,3,489.61665,635.12527,56053.60741,41411.3866
vrp-n18-c26-s1,18,26,9,8.16316,2,507.99233,602.02787,53984.5425,61288.42335
vrp-n34-c45-s1,34,45,17,12.58785,2,540.64499,476.88617,67877.12739,68487.28282
vrp-n31-c69-s1,31,69,15,18.66562,3,510.94077,551.33581,56775.12787,50195.25861
vrp-n20-c72-s1,20,72,9,22.67577,3,491.71417,440.61434,74651.50311,28305.12231
vrp-n49-c42-s1,49,42,27,12.81193,2,536.92815,807.22805,64321.81738,80295.03145
vrp-n35-c75-s1,35,75,19,22.60094,2,553.2271,505.67265,64467.05544,41405.06664
vrp-n43-c62-s1,43,62,22,16.91305,2,504.1456,524.03013,59462.30515,49129.45517
vrp-n41-c52-s1,41,52,21,14.50602,2,541.83309,459.59503,63907.5653,39487.78953
vrp-n17-c57-s1,17,57,10,17.22984,2,566.57162,512.45662,77623.53091,111842.48854
vrp-n48-c69-s1,48,69,21,16.88141,3,528.48428,455.0639,62987.09134,51533.57533
vrp-n29-c67-s1,29,67,16,22.25361,2,477.43259,405.88568,55578.89455,29550.92828
vrp-n49-c67-s1,49,67,27,18.90041,2,529.49306,471.39586,66149.64029,47765.26858
vrp-n41-c74-s1,41,74,24,21.61612,2,507.29671,758.43412,56720.02032,86110.90073
vrp-n24-c57-s1,24,57,11,16.40615,3,514.13427,592.92577,54949.37482,77565.67857
vrp-n11-c34-s1,11,34,5,8.83962,3,552.09092,485.27842,53983.16894,57649.12547
vrp-n43-c27-s1,43,27,21,6.74701,3,536.7372,572.32266,64075.6313,67923.12595
vrp-n42-c20-s1,42,20,22,5.48808,2,495.3231,688.62179,54904.47385,62801.30947
vrp-n39-c37-s1,39,37,23,11.1463,2,472.2303,601.40307,49477.32344,71605.82586
vrp-n32-c75-s1,32,75,18,23.97267,2,549.05032,419.25164,72774.34305,30118.07871
vrp-n32-c43-s1,32,43,18,13.33636,2,529.38363,460.85577,61315.61322,52547.08751
vrp-n34-c27-s1,34,27,21,7.28353,2,526.92649,543.93551,59347.73727,70306.84414
vrp-n22-c63-s1,22,63,11,17.82916,2,514.26549,432.33741,55437.97041,25140.64142
vrp-n42-c52-s1,42,52,20,16.2964,3,528.49176,515.69203,59691.33707,56834.71434
vrp-n45-c76-s1,45,76,21,20.51898,3,545.06384,422.56408,66414.00114,23582.64001
vrp-n13-c30-s1,13,30,6,8.31399,3,610.4262,572.35646,62994.63351,73107.18536
vrp-n41-c66-s1,41,66,23,16.90337,2,504.62188,570.37937,55800.70636,54185.89914
vrp-n33-c68-s1,33,68,17,20.63979,2,498.25907,721.21927,59655.42167,52815.29235
vrp-n45-c68-s1,45,68,22,18.42926,3,560.67882,507.95775,69233.23032,58128.3696
vrp-n32-c33-s1,32,33,16,9.42283,2,538.60997,616.92247,60583.32234,52284.04814
vrp-n29-c32-s1,29,32,17,10.24202,2,467.8268,615.61876,53738.02595,50899.76332
vrp-n35-c57-s1,35,57,17,18.81396,3,480.35723,431.50287,48072.9642,42629.3803
vrp-n26-c70-s1,26,70,13,20.58753,2,492.72777,423.60716,48732.02273,29140.30968
vrp-n11-c25-s1,11,25,6,8.1172,2,474.62904,685.16713,40427.73343,42108.93429
vrp-n27-c44-s1,27,44,15,11.55439,2,511.50048,550.47031,57213.21983,55927.68764
vrp-n16-c30-s1,16,30,7,8.28013,3,468.53875,576.28695,44200.32608,54261.31405
vrp-n37-c38-s1,37,38,21,11.83813,2,537.32736,463.29889,63001.12634,28867.89099
vrp-n25-c27-s1,25,27,13,7.0393,2,555.35026,601.90552,66102.76644,63037.34366
vrp-n38-c49-s1,38,49,20,16.21648,2,535.9163,578.31817,62714.18637,58437.71576
vrp-n39-c60-s1,39,60,22,15.84574,2,539.56739,385.72033,60564.52804,22870.38392
vrp-n29-c60-s1,29,60,13,16.32207,3,546.1188,483.98681,62470.42295,49748.15248
vrp-n33-c49-s1,33,49,18,15.91511,2,544.56066,449.43017,65081.56544,33556.53309
vrp-n43-c21-s1,43,21,24,6.27042,2,512.42273,615.96328,59108.28238,80124.01422
vrp-n37-c39-s1,37,39,18,10.31931,3,558.46254,821.40079,70642.34692,68326.88446
vrp-n28-c71-s1,28,71,18,20.20478,2,507.68411,671.06393,55634.84374,71991.82126
vrp-n35-c58-s1,35,58,17,16.73726,3,495.0461,485.65513,51039.62758,37967.30313
vrp-n31-c50-s1,31,50,16,13.79708,2,548.46881,484.43845,66270.03709,52237.30628
vrp-n19-c22-s1,19,22,9,6.73869,3,550.02803,514.68702,61325.176,80851.83788
vrp-n31-c35-s1,31,35,16,11.56436,2,564.7133,592.32285,65230.14571,86565.50783
vrp-n17-c39-s1,17,39,12,11.91741,2,461.14017,407.23638,50679.1617,48583.48264
vrp-n34-c37-s1,34,37,17,10.89242,2,543.35359,606.95507,62047.67832,78505.5636
vrp-n39-c42-s1,39,42,20,12.48376,2,572.65967,500.41009,71454.38911,58265.15533
vrp-n29-c79-s1,29,79,15,22.29848,2,487.02796,439.32597,59632.74701,49394.2555
vrp-n41-c78-s1,41,78,26,23.04162,2,565.99856,447.98934,66620.62343,42667.22777
vrp-n30-c70-s1,30,70,17,21.44737,2,564.9027,534.00813,69448.70946,35519.7309
vrp-n33-c39-s1,33,39,17,11.11488,2,519.49204,488.32609,54522.47364,49352.01517
vrp-n11-c25-s1,11,25,6,6.95621,2,520.17743,582.60528,51917.90951,68143.32054
vrp-n26-c42-s1,26,42,15,11.33454,2,549.2672,496.58942,69435.59732,19158.06471
vrp-n29-c40-s1,29,40,13,9.19595,3,547.07345,445.53572,58770.88564,23148.75121
vrp-n20-c72-s1,20,72,11,23.24092,2,525.91479,463.13088,60976.41965,56092.73643
vrp-n23-c75-s1,23,75,11,23.8196,3,573.80669,571.17284,65640.85978,71662.19414
vrp-n40-c38-s1,40,38,22,11.83005,2,558.58354,538.36221,64309.38006,57226.93284
vrp-n32-c60-s1,32,60,16,17.57069,2,461.77952,485.47534,50680.41754,41457.62716
vrp-n12-c78-s1,12,78,6,17.92225,2,399.23079,403.40997,30324.69166,22039.0817
vrp-n12-c79-s1,12,79,6,21.10778,2,567.26273,735.42606,66948.20979,68805.68395
vrp-n32-c73-s1,32,73,18,23.28929,2,498.78463,559.38518,55726.07846,42340.54752
vrp-n22-c45-s1,22,45,12,13.2254,2,584.02481,558.05382,67521.76411,55071.16853
vrp-n34-c55-s1,34,55,16,13.71327,3,535.42537,421.93944,58097.97263,24330.1166
vrp-n13-c70-s1,13,70,6,18.51709,3,481.34638,443.55643,66478.54203,42694.88988
vrp-n47-c63-s1,47,63,24,19.92865,2,509.28062,622.92213,55480.43506,56768.6478
vrp-n31-c31-s1,31,31,18,9.17021,2,468.2188,375.72271,54154.60483,32521.30055
vrp-n23-c51-s1,23,51,12,13.69585,2,517.07764,656.75139,55853.59035,54691.86448
vrp-n30-c77-s1,30,77,17,21.85683,2,540.35267,486.14781,60054.6579,62024.65609
vrp-n31-c74-s1,31,74,19,20.58329,2,538.6911,535.09511,64442.24166,85692.37674
vrp-n38-c26-s1,38,26,16,7.47514,3,531.5735,555.4212,60054.02735,80969.29083
vrp-n17-c71-s1,17,71,8,18.79782,3,524.55825,478.46062,69674.32597,100163.86828
vrp-n49-c78-s1,49,78,25,21.37877,2,515.9117,595.1198,57387.83326,85433.57197
vrp-n29-c58-s1,29,58,16,16.62866,2,521.11221,464.45491,56455.58747,32796.0254
vrp-n41-c41-s1,41,41,18,11.95468,3,481.10788,558.68796,48723.75058,71258.00954
vrp-n41-c52-s1,41,52,22,14.61843,2,500.62873,518.90821,55692.16669,44557.75609
vrp-n38-c66-s1,38,66,18,19.622,3,502.05697,525.23716,57376.22055,72968.48482
vrp-n31-c23-s1,31,23,17,7.21516,2,488.97728,476.00421,55246.60276,50545.18906
vrp-n35-c72-s1,35,72,18,18.74166,2,452.99672,347.77487,50925.67677,20648.81655
vrp-n34-c44-s1,34,44,19,11.3819,2,537.7295,593.31301,61440.79777,60542.65675
vrp-n30-c69-s1,30,69,16,17.74328,2,525.57595,515.81659,62307.54868,78617.00887
vrp-n19-c34-s1,19,34,11,10.61414,2,566.15183,442.18275,62187.37047,40704.02018
vrp-n11-c21-s1,11,21,7,5.89962,2,425.76587,310.83003,42048.48047,23740.73157
vrp-n26-c32-s1,26,32,11,6.94857,3,500.95168,438.90225,55777.52515,28852.63878
vrp-n40-c71-s1,40,71,21,21.95363,2,482.61888,611.07383,51803.23778,71794.81927
vrp-n40-c34-s1,40,34,20,9.20246,2,496.06083,496.26624,59449.9607,44643.23737
vrp-n38-c58-s1,38,58,16,16.93349,3,484.22903,461.97285,51451.78201,47439.52916
vrp-n17-c32-s1,17,32,11,10.69167,2,421.13592,369.13792,44476.93036,45986.36681
vrp-n24-c78-s1,24,78,10,17.53917,3,535.54216,560.6304,77841.29732,38846.95444
vrp-n16-c36-s1,16,36,9,10.31309,2,503.95288,376.75521,54336.95629,34349.92633
vrp-n32-c58-s1,32,58,16,15.26683,2,505.30821,536.08472,56430.3474,45389.79818
vrp-n11-c37-s1,11,37,6,10.52081,2,529.27628,551.47661,55126.17081,30248.09671
vrp-n38-c44-s1,38,44,22,12.21541,2,552.3947,569.67748,66939.69347,96502.95794
vrp-n36-c27-s1,36,27,19,7.96119,2,536.75964,482.41043,67313.04644,66984.58476
vrp-n13-c47-s1,13,47,6,13.1731,3,440.07543,524.72797,45213.53348,37602.69319
vrp-n38-c58-s1,38,58,19,16.5246,2,508.92881,481.56843,58226.94811,48134.09047
vrp-n12-c70-s1,12,70,8,19.73823,2,503.07718,572.02947,48057.24777,56096.99727
vrp-n18-c57-s1,18,57,9,15.23264,2,561.25169,530.70471,61079.79907,57623.32315
vrp-n39-c37-s1,39,37,21,10.26694,2,536.17037,516.02551,61860.6526,35937.91836
vrp-n23-c50-s1,23,50,12,14.05619,2,467.61585,468.70419,57561.25918,12039.63117
vrp-n32-c55-s1,32,55,15,15.8346,3,497.41818,500.6303,52369.99179,59090.02967
vrp-n25-c58-s1,25,58,13,18.1033,2,487.45109,390.44051,57468.60253,25086.7294
vrp-n42-c53-s1,42,53,18,14.25678,3,533.17032,531.35327,63564.82928,77564.89947
vrp-n35-c61-s1,35,61,19,19.22437,2,514.34324,408.45024,54982.10865,26319.29005
vrp-n22-c46-s1,22,46,14,13.35752,2,530.65457,533.19026,81629.99576,77053.29934
vrp-n17-c73-s1,17,73,10,17.83255,2,579.59872,692.01027,63965.95193,95375.70834
vrp-n12-c25-s1,12,25,5,7.57136,3,457.45654,454.17939,47412.20114,70167.14645
vrp-n40-c60-s1,40,60,18,17.49721,3,490.12135,418.95124,51912.26429,38028.92997
vrp-n39-c68-s1,39,68,17,16.16911,3,568.09858,463.64093,74964.02591,33776.78755
vrp-n15-c77-s1,15,77,8,26.9704,2,510.59416,492.43436,60545.26257,32444.0093
vrp-n12-c51-s1,12,51,8,18.6817,2,484.62254,523.72151,53988.15467,18501.22158
vrp-n21-c26-s1,21,26,9,7.309,3,626.27284,504.59461,82951.08885,53900.33102
vrp-n11-c79-s1,11,79,6,19.22816,2,535.28333,666.29958,59816.40045,57749.43941
vrp-n29-c58-s1,29,58,19,17.21075,2,512.09452,703.18935,60676.63853,63652.36858
vrp-n18-c43-s1,18,43,12,12.88023,2,560.19976,597.82218,75575.51778,94724.1737
vrp-n48-c71-s1,48,71,28,18.75023,2,568.25474,439.18592,73206.98938,56981.52656
vrp-n17-c22-s1,17,22,11,7.03869,2,459.60259,470.95332,65877.92435,39937.30665
vrp-n33-c57-s1,33,57,17,17.47445,2,504.05278,386.21476,55001.43016,37113.8008
vrp-n36-c50-s1,36,50,17,12.25735,3,472.37596,463.14021,50413.5257,55455.96093
vrp-n30-c23-s1,30,23,13,6.57511,3,512.55933,413.6571,55432.56399,35716.76941
vrp-n49-c60-s1,49,60,26,17.40148,2,480.18432,415.72889,51496.38037,43377.51193
vrp-n29-c57-s1,29,57,19,16.64869,2,498.69926,596.49535,51987.94035,56166.22417
vrp-n29-c65-s1,29,65,16,19.49598,2,506.73648,795.3091,57787.77849,75706.49631
vrp-n42-c43-s1,42,43,22,11.24572,2,539.72236,492.77105,63222.52496,60761.82488
vrp-n26-c77-s1,26,77,13,22.01259,2,488.28074,506.77684,51825.88015,65811.95497
vrp-n11-c29-s1,11,29,4,7.97217,3,545.97597,473.49254,74876.07135,108936.50216
vrp-n16-c37-s1,16,37,7,9.85851,3,511.57177,572.55883,68280.37899,65149.37462
vrp-n42-c21-s1,42,21,23,5.866,2,552.6762,458.4446,62646.64637,46769.00539
vrp-n25-c79-s1,25,79,14,21.61788,2,535.95778,501.49965,66130.40404,42823.08919
vrp-n28-c66-s1,28,66,15,18.94444,2,543.403,455.04346,65901.6028,48998.41769
vrp-n22-c70-s1,22,70,10,20.4927,3,514.1509,648.54942,57460.6361,94897.21526
vrp-n47-c64-s1,47,64,25,18.67578,2,528.76862,478.80308,62545.94363,48584.99104
vrp-n46-c41-s1,46,41,19,10.92636,3,534.00708,689.00827,64369.76799,75987.21392
vrp-n12-c39-s1,12,39,7,13.36736,2,577.61903,581.56645,73661.01948,41344.84522
vrp-n48-c58-s1,48,58,25,17.22843,2,551.40462,632.85442,65078.21965,75429.45225
vrp-n29-c49-s1,29,49,14,13.79066,3,543.46304,421.76399,66899.42916,36005.75894
vrp-n32-c35-s1,32,35,16,9.44502,2,504.98854,531.65676,61475.3125,45054.08642
vrp-n38-c36-s1,38,36,21,10.14944,2,549.08027,522.78757,62007.0763,56527.57906
vrp-n31-c72-s1,31,72,18,22.64448,2,569.70177,521.47114,72679.3138,38730.88813
vrp-n36-c73-s1,36,73,18,20.69392,2,531.18693,504.96387,63559.71096,64240.73468
vrp-n14-c46-s1,14,46,8,14.13176,2,516.70105,446.44066,52717.42067,27389.31196
vrp-n43-c47-s1,43,47,22,12.80318,2,515.36945,477.11956,57467.96496,44192.95543
vrp-n43-c67-s1,43,67,18,18.67214,3,554.97196,506.36852,69977.00385,76248.04415
vrp-n20-c73-s1,20,73,10,21.71596,2,512.54429,597.06217,54580.08116,78726.46249
vrp-n43-c29-s1,43,29,21,8.46676,3,556.21553,550.01775,65845.78706,70805.79444
vrp-n31-c41-s1,31,41,14,11.73432,3,545.2437,457.28501,66489.94175,28537.37222
vrp-n28-c75-s1,28,75,12,20.16891,3,500.20177,544.98587,56473.96111,57624.35664
vrp-n10-c54-s1,10,54,6,16.46735,2,533.01106,581.93095,107603.37276,16460.88004
vrp-n37-c44-s1,37,44,20,13.1397,2,545.23605,492.43742,63473.2161,41427.38004
vrp-n13-c47-s1,13,47,9,14.07215,2,499.27634,460.60946,49116.05637,57731.98048
vrp-n43-c75-s1,43,75,20,18.79055,3,505.13878,409.49316,60304.53946,32185.56471
vrp-n44-c32-s1,44,32,25,9.01264,2,528.27439,596.08161,61126.43544,76874.04714
vrp-n24-c79-s1,24,79,14,23.31866,2,572.30499,503.74726,77051.87385,32206.41078
vrp-n38-c77-s1,38,77,18,19.98027,3,509.61816,372.66914,55884.3199,19496.74446
vrp-n33-c78-s1,33,78,16,25.0941,3,499.98755,470.29316,57484.87939,40936.69925
vrp-n31-c51-s1,31,51,15,14.87575,3,496.00507,382.08282,52132.42902,23733.87109
vrp-n24-c20-s1,24,20,12,5.13093,2,539.73708,620.20621,63043.35552,82868.60441
vrp-n31-c46-s1,31,46,16,11.75926,2,556.01649,480.81987,66719.37867,76266.55828
vrp-n34-c51-s1,34,51,20,15.41015,2,580.71655,569.93317,74008.98348,65070.73143
vrp-n12-c46-s1,12,46,6,13.25267,2,560.95733,623.94961,71774.87004,60020.8537
vrp-n36-c49-s1,36,49,20,12.91439,2,559.87113,427.38989,65418.53732,43650.82182
vrp-n31-c21-s1,31,21,16,5.50532,2,535.09184,639.3996,59587.31107,64739.22946
vrp-n21-c34-s1,21,34,12,10.02899,2,566.9276,404.74904,69473.5459,29578.19541
vrp-n47-c54-s1,47,54,23,15.37583,3,466.2798,443.07141,53832.1338,47572.67926
vrp-n25-c68-s1,25,68,13,18.89636,2,547.98595,669.40679,60513.07157,84805.70189
vrp-n14-c23-s1,14,23,9,7.4015,2,526.20454,530.42796,59507.29022,31876.83042
vrp-n31-c60-s1,31,60,15,16.24684,3,511.94089,688.71445,56980.17503,70506.52266
vrp-n30-c35-s1,30,35,16,10.89893,2,553.51074,639.26405,69501.92352,54431.30661
vrp-n45-c27-s1,45,27,21,7.51772,3,488.42563,659.76663,58844.36726,66627.7295
vrp-n31-c44-s1,31,44,12,12.07686,3,516.56131,381.56625,53441.39464,32823.6937
vrp-n11-c55-s1,11,55,7,17.7881,2,483.41444,560.68866,71772.33326,12933.46315
vrp-n46-c32-s1,46,32,23,9.43703,2,505.64722,758.45098,63685.84429,84644.47682
vrp-n10-c33-s1,10,33,6,10.18019,2,419.03074,334.08919,35280.93698,23956.20364
vrp-n26-c78-s1,26,78,13,19.70962,2,524.04226,438.97637,62561.79183,40229.07203
vrp-n18-c46-s1,18,46,9,14.31173,2,479.08629,416.39162,51924.05337,22817.59834
vrp-n16-c45-s1,16,45,9,11.65745,2,488.46442,418.6133,53008.53354,68335.6549
vrp-n20-c73-s1,20,73,11,23.75336,2,495.56661,510.23788,53926.56166,58383.95573
vrp-n19-c41-s1,19,41,8,7.67642,3,517.03054,555.45378,66383.25712,46288.89105
vrp-n49-c77-s1,49,77,24,23.51569,3,550.79983,551.96575,65731.09976,68514.25754
vrp-n46-c60-s1,46,60,21,17.60617,3,509.46006,390.56619,60702.08498,30566.29201
vrp-n41-c62-s1,41,62,21,18.37306,2,515.16915,527.18251,57528.47898,50885.02778
vrp-n37-c74-s1,37,74,22,20.71713,2,524.25685,527.6551,59071.8392,45023.78565
vrp-n11-c78-s1,11,78,7,24.4215,2,453.77348,328.0366,57362.13475,21453.71886
vrp-n25-c32-s1,25,32,13,8.60714,2,496.50041,451.73982,55120.43636,45951.87618
vrp-n48-c30-s1,48,30,26,9.37173,2,526.14535,572.68917,58914.67671,66462.00607
vrp-n18-c59-s1,18,59,8,16.42544,3,452.99909,456.95387,47959.4788,19624.28943
vrp-n39-c69-s1,39,69,20,18.0834,2,492.02224,426.12164,52057.67285,42948.77962
vrp-n16-c38-s1,16,38,9,11.59376,2,586.79472,638.03835,71269.77096,53538.32617
vrp-n48-c37-s1,48,37,29,10.37265,2,499.2133,410.8617,59405.18682,26241.517
vrp-n14-c33-s1,14,33,6,8.16333,3,529.97766,560.06365,48902.41645,52452.75698
vrp-n36-c40-s1,36,40,20,11.13953,2,541.23705,566.58224,62055.61748,73372.0107
vrp-n29-c70-s1,29,70,14,16.37627,3,541.23933,629.87,69682.16755,68034.51611
vrp-n19-c48-s1,19,48,11,13.25622,2,492.97766,373.00428,59034.65183,36251.31433
vrp-n30-c77-s1,30,77,16,18.38738,2,566.36924,607.79024,69845.31717,66160.38856
vrp-n17-c41-s1,17,41,9,11.32475,2,508.44125,476.56599,59954.04342,51724.79355
vrp-n46-c31-s1,46,31,25,9.34161,2,554.57312,431.90188,68586.86128,18521.11823
vrp-n14-c58-s1,14,58,7,17.61514,2,556.48485,528.04967,67468.93202,79888.57959
